"time","q",,
2,3.103,-2.458,
2.01,3.103,-2.458,
2.02,3.103,-2.458,
2.03,3.103,-2.458,
2.04,3.103,-2.458,
2.05,3.102,-2.457,
2.06,3.102,-2.457,
2.07,3.102,-2.457,
2.08,3.101,-2.456,
2.09,3.101,-2.456,
2.1,3.1,-2.455,
2.11,3.1,-2.454,
2.12,3.099,-2.454,
2.13,3.098,-2.453,
2.14,3.097,-2.452,
2.15,3.096,-2.451,
2.16,3.095,-2.45,
2.17,3.094,-2.449,
2.18,3.093,-2.448,
2.19,3.092,-2.446,
2.2,3.091,-2.445,
2.21,3.09,-2.444,
2.22,3.088,-2.442,
2.23,3.087,-2.441,
2.24,3.085,-2.439,
2.25,3.084,-2.438,
2.26,3.082,-2.436,
2.27,3.081,-2.434,
2.28,3.079,-2.432,
2.29,3.077,-2.43,
2.3,3.075,-2.428,
2.31,3.073,-2.426,
2.32,3.071,-2.424,
2.33,3.069,-2.421,
2.34,3.067,-2.419,
2.35,3.065,-2.416,
2.36,3.062,-2.414,
2.37,3.06,-2.411,
2.38,3.057,-2.408,
2.39,3.055,-2.406,
2.4,3.052,-2.403,
2.41,3.05,-2.4,
2.42,3.047,-2.397,
2.43,3.044,-2.393,
2.44,3.041,-2.39,
2.45,3.038,-2.387,
2.46,3.035,-2.383,
2.47,3.032,-2.38,
2.48,3.029,-2.376,
2.49,3.026,-2.372,
2.5,3.022,-2.369,
2.51,3.019,-2.365,
2.52,3.015,-2.361,
2.53,3.012,-2.357,
2.54,3.008,-2.352,
2.55,3.005,-2.348,
2.56,3.001,-2.344,
2.57,2.997,-2.339,
2.58,2.993,-2.335,
2.59,2.989,-2.33,
2.6,2.985,-2.325,
2.61,2.981,-2.32,
2.62,2.977,-2.315,
2.63,2.973,-2.31,
2.64,2.969,-2.305,
2.65,2.965,-2.3,
2.66,2.96,-2.295,
2.67,2.956,-2.289,
2.68,2.951,-2.283,
2.69,2.947,-2.278,
2.7,2.942,-2.272,
2.71,2.937,-2.266,
2.72,2.933,-2.26,
2.73,2.928,-2.254,
2.74,2.923,-2.248,
2.75,2.918,-2.241,
2.76,2.913,-2.235,
2.77,2.908,-2.228,
2.78,2.902,-2.221,
2.79,2.897,-2.214,
2.8,2.892,-2.208,
2.81,2.887,-2.2,
2.82,2.881,-2.193,
2.83,2.876,-2.186,
2.84,2.87,-2.178,
2.85,2.864,-2.171,
2.86,2.859,-2.163,
2.87,2.853,-2.155,
2.88,2.847,-2.147,
2.89,2.841,-2.139,
2.9,2.835,-2.131,
2.91,2.829,-2.122,
2.92,2.823,-2.114,
2.93,2.816,-2.105,
2.94,2.81,-2.097,
2.95,2.804,-2.088,
2.96,2.797,-2.079,
2.97,2.791,-2.069,
2.98,2.784,-2.06,
2.99,2.778,-2.051,
3,2.771,-2.041,
3.01,2.764,-2.032,
3.02,2.758,-2.022,
3.03,2.751,-2.012,
3.04,2.744,-2.002,
3.05,2.737,-1.992,
3.06,2.73,-1.982,
3.07,2.723,-1.972,
3.08,2.716,-1.962,
3.09,2.709,-1.951,
3.1,2.703,-1.941,
3.11,2.696,-1.93,
3.12,2.689,-1.92,
3.13,2.682,-1.909,
3.14,2.675,-1.899,
3.15,2.668,-1.888,
3.16,2.661,-1.878,
3.17,2.654,-1.867,
3.18,2.647,-1.856,
3.19,2.64,-1.846,
3.2,2.633,-1.835,
3.21,2.626,-1.825,
3.22,2.619,-1.814,
3.23,2.613,-1.804,
3.24,2.606,-1.793,
3.25,2.599,-1.783,
3.26,2.593,-1.772,
3.27,2.586,-1.762,
3.28,2.58,-1.752,
3.29,2.573,-1.742,
3.3,2.567,-1.732,
3.31,2.56,-1.722,
3.32,2.554,-1.712,
3.33,2.548,-1.702,
3.34,2.542,-1.692,
3.35,2.536,-1.683,
3.36,2.53,-1.673,
3.37,2.524,-1.664,
3.38,2.518,-1.654,
3.39,2.513,-1.645,
3.4,2.507,-1.636,
3.41,2.502,-1.627,
3.42,2.496,-1.618,
3.43,2.491,-1.609,
3.44,2.485,-1.601,
3.45,2.48,-1.592,
3.46,2.475,-1.584,
3.47,2.47,-1.575,
3.48,2.465,-1.567,
3.49,2.46,-1.559,
3.5,2.456,-1.552,
3.51,2.451,-1.544,
3.52,2.446,-1.537,
3.53,2.442,-1.529,
3.54,2.438,-1.522,
3.55,2.434,-1.515,
3.56,2.429,-1.509,
3.57,2.426,-1.502,
3.58,2.422,-1.496,
3.59,2.418,-1.49,
3.6,2.415,-1.484,
3.61,2.411,-1.478,
3.62,2.408,-1.473,
3.63,2.405,-1.468,
3.64,2.402,-1.463,
3.65,2.399,-1.458,
3.66,2.397,-1.454,
3.67,2.394,-1.45,
3.68,2.392,-1.446,
3.69,2.39,-1.443,
3.7,2.388,-1.439,
3.71,2.386,-1.436,
3.72,2.384,-1.434,
3.73,2.383,-1.431,
