"time","q",,
2,2.722,-1.943,
2.1,2.75,-1.926,
2.2,2.722,-1.869,
2.3,2.661,-1.817,
2.4,2.648,-1.822,
2.5,2.673,-1.834,
2.6,2.649,-1.732,
2.7,2.631,-1.677,
2.8,2.896,-2.126,
2.9,2.96,-2.321,
3,2.583,-1.904,
3.1,2.474,-1.719,
3.2,2.602,-1.861,
3.3,2.695,-1.924,
3.4,2.714,-1.891,
3.5,2.688,-1.776,
3.6,2.717,-1.79,
3.7,2.978,-2.251,
3.8,2.867,-2.255,
3.9,2.461,-1.794,
4,2.498,-1.767,
4.1,2.635,-1.884,
4.2,2.691,-1.928,
4.3,2.703,-1.876,
4.4,2.652,-1.721,
4.5,2.769,-1.887,
4.6,3.002,-2.321,
4.7,2.77,-2.143,
4.8,2.458,-1.729,
4.9,2.542,-1.83,
5,2.665,-1.926,
5.1,2.739,-1.955,
5.2,2.701,-1.869,
5.3,2.582,-1.627,
5.4,2.806,-1.92,
5.5,3.04,-2.275,
5.6,2.687,-1.943,
5.7,2.52,-1.72,
5.8,2.668,-1.905,
5.9,2.727,-1.98,
