"time","q",,
1e-06,2.44,-1.471,
0.1,2.463,-1.443,
0.2,2.414,-1.348,
0.3,2.333,-1.259,
0.4,2.322,-1.268,
0.5,2.352,-1.288,
0.6,2.283,-1.105,
0.7,2.235,-0.997,
0.8,2.667,-1.752,
0.9,2.775,-2.033,
1,2.288,-1.407,
1.1,2.101,-1.079,
1.2,2.292,-1.335,
1.3,2.407,-1.44,
1.4,2.414,-1.384,
1.5,2.342,-1.186,
1.6,2.377,-1.211,
1.7,2.779,-1.934,
1.8,2.668,-1.939,
1.9,2.124,-1.218,
2,2.149,-1.17,
2.1,2.333,-1.373,
2.2,2.404,-1.445,
2.3,2.398,-1.361,
2.4,2.28,-1.083,
2.5,2.468,-1.378,
2.6,2.817,-2.033,
2.7,2.545,-1.777,
2.8,2.09,-1.099,
2.9,2.219,-1.282,
3,2.377,-1.442,
3.1,2.461,-1.49,
3.2,2.393,-1.348,
3.3,2.155,-0.89,
3.4,2.516,-1.432,
3.5,2.846,-1.968,
3.6,2.406,-1.47,
3.7,2.147,-1.081,
3.8,2.373,-1.407,
3.9,2.457,-1.529,
