"time","q",,
2,3.134,-2.457,
2.1,3.131,-2.454,
2.2,3.121,-2.444,
2.3,3.104,-2.427,
2.4,3.08,-2.401,
2.5,3.048,-2.366,
2.6,3.009,-2.322,
2.7,2.963,-2.267,
2.8,2.911,-2.201,
2.9,2.851,-2.123,
3,2.784,-2.032,
3.1,2.712,-1.929,
3.2,2.64,-1.821,
3.3,2.571,-1.715,
3.4,2.509,-1.617,
3.5,2.455,-1.531,
3.6,2.412,-1.461,
3.7,2.384,-1.415,
3.8,2.374,-1.399,
3.89,2.373,-1.397,
3.99,2.37,-1.392,
4.09,2.368,-1.388,
4.19,2.369,-1.39,
4.29,2.377,-1.403,
4.39,2.392,-1.429,
4.49,2.416,-1.467,
4.59,2.448,-1.52,
4.69,2.49,-1.588,
4.79,2.542,-1.67,
4.89,2.603,-1.765,
4.99,2.673,-1.871,
5.09,2.749,-1.982,
5.19,2.828,-2.093,
5.29,2.908,-2.198,
5.39,2.987,-2.296,
5.49,3.064,-2.384,
5.59,3.134,-2.457,
5.69,3.184,-2.506,
