"time","q",,
1e-06,2.52,-2.288,
0.1,2.519,-2.284,
0.2,2.516,-2.272,
0.3,2.511,-2.251,
0.4,2.502,-2.221,
0.5,2.49,-2.179,
0.6,2.474,-2.126,
0.7,2.452,-2.06,
0.8,2.425,-1.979,
0.9,2.389,-1.881,
1,2.345,-1.766,
1.1,2.292,-1.633,
1.2,2.232,-1.488,
1.3,2.17,-1.34,
1.4,2.108,-1.197,
1.5,2.05,-1.063,
1.6,1.999,-0.948,
1.7,1.963,-0.866,
1.8,1.949,-0.837,
1.89,1.948,-0.833,
1.99,1.944,-0.824,
2.09,1.94,-0.816,
2.19,1.942,-0.82,
2.29,1.952,-0.844,
2.39,1.973,-0.89,
2.49,2.003,-0.958,
2.59,2.042,-1.046,
2.69,2.089,-1.152,
2.79,2.142,-1.274,
2.89,2.2,-1.411,
2.99,2.261,-1.556,
3.09,2.32,-1.702,
3.19,2.375,-1.843,
3.29,2.423,-1.975,
3.39,2.464,-2.095,
3.49,2.496,-2.201,
3.59,2.52,-2.287,
3.69,2.533,-2.345,
