"time","q",,
1e-06,2.52,-4.118,
0.1,2.519,-4.111,
0.2,2.516,-4.09,
0.3,2.511,-4.052,
0.4,2.502,-3.997,
0.5,2.49,-3.922,
0.6,2.474,-3.826,
0.7,2.452,-3.707,
0.8,2.425,-3.562,
0.9,2.389,-3.387,
1,2.345,-3.178,
1.1,2.292,-2.939,
1.2,2.232,-2.678,
1.3,2.17,-2.413,
1.4,2.108,-2.154,
1.5,2.05,-1.913,
1.6,1.999,-1.706,
1.7,1.963,-1.559,
1.8,1.949,-1.506,
1.89,1.948,-1.5,
1.99,1.944,-1.482,
2.09,1.94,-1.468,
2.19,1.942,-1.475,
2.29,1.952,-1.518,
2.39,1.973,-1.602,
2.49,2.003,-1.724,
2.59,2.042,-1.882,
2.69,2.089,-2.073,
2.79,2.142,-2.294,
2.89,2.2,-2.539,
2.99,2.261,-2.8,
3.09,2.32,-3.064,
3.19,2.375,-3.318,
3.29,2.423,-3.554,
3.39,2.464,-3.77,
3.49,2.496,-3.961,
3.59,2.52,-4.116,
3.69,2.533,-4.221,
0.38,2.504,-4.01,
0.39,2.503,-4.004,
0.4,2.502,-3.997,
0.41,2.501,-3.991,
0.42,2.5,-3.984,
0.43,2.499,-3.977,
0.44,2.498,-3.97,
0.45,2.497,-3.962,
0.46,2.495,-3.955,
0.47,2.494,-3.947,
0.48,2.493,-3.939,
0.49,2.492,-3.931,
0.5,2.49,-3.922,
0.51,2.489,-3.914,
0.52,2.487,-3.905,
0.53,2.486,-3.896,
0.54,2.484,-3.887,
0.55,2.483,-3.877,
0.56,2.481,-3.867,
0.57,2.479,-3.857,
0.58,2.477,-3.847,
0.59,2.476,-3.837,
0.6,2.474,-3.826,
0.61,2.472,-3.816,
0.62,2.47,-3.804,
0.63,2.468,-3.793,
0.64,2.466,-3.782,
0.65,2.464,-3.77,
0.66,2.462,-3.758,
0.67,2.459,-3.746,
0.68,2.457,-3.733,
0.69,2.455,-3.72,
0.7,2.452,-3.707,
0.71,2.45,-3.694,
0.72,2.447,-3.68,
0.73,2.445,-3.667,
0.74,2.442,-3.653,
0.75,2.439,-3.638,
0.76,2.437,-3.623,
0.77,2.434,-3.609,
0.78,2.431,-3.593,
0.79,2.428,-3.578,
0.8,2.425,-3.562,
0.81,2.421,-3.546,
0.82,2.418,-3.529,
0.83,2.415,-3.513,
0.84,2.411,-3.496,
0.85,2.408,-3.478,
0.86,2.404,-3.461,
0.87,2.401,-3.443,
0.88,2.397,-3.424,
0.89,2.393,-3.406,
0.9,2.389,-3.387,
0.91,2.385,-3.367,
0.92,2.381,-3.348,
0.93,2.377,-3.328,
0.94,2.373,-3.307,
0.95,2.368,-3.287,
0.96,2.364,-3.265,
0.97,2.359,-3.244,
0.98,2.354,-3.222,
0.99,2.35,-3.2,
1,2.345,-3.178,
1.01,2.34,-3.155,
1.02,2.335,-3.132,
1.03,2.33,-3.109,
1.04,2.325,-3.086,
1.05,2.319,-3.062,
1.06,2.314,-3.038,
1.07,2.309,-3.013,
1.08,2.303,-2.989,
1.09,2.298,-2.964,
1.1,2.292,-2.939,
1.11,2.286,-2.913,
1.12,2.28,-2.888,
1.13,2.275,-2.862,
1.14,2.269,-2.836,
1.15,2.263,-2.81,
1.16,2.257,-2.784,
1.17,2.251,-2.758,
1.18,2.245,-2.731,
1.19,2.239,-2.705,
1.2,2.232,-2.678,
1.21,2.226,-2.652,
1.22,2.22,-2.625,
1.23,2.214,-2.599,
1.24,2.208,-2.572,
1.25,2.201,-2.545,
1.26,2.195,-2.519,
1.27,2.189,-2.492,
1.28,2.183,-2.466,
1.29,2.176,-2.439,
1.3,2.17,-2.413,
1.31,2.164,-2.386,
1.32,2.158,-2.36,
1.33,2.151,-2.334,
1.34,2.145,-2.308,
1.35,2.139,-2.282,
1.36,2.133,-2.256,
1.37,2.127,-2.231,
1.38,2.12,-2.205,
1.39,2.114,-2.18,
1.4,2.108,-2.154,
1.41,2.102,-2.129,
1.42,2.096,-2.104,
1.43,2.09,-2.08,
1.44,2.084,-2.055,
1.45,2.078,-2.031,
1.46,2.072,-2.007,
1.47,2.067,-1.983,
1.48,2.061,-1.959,
1.49,2.055,-1.936,
1.5,2.05,-1.913,
1.51,2.044,-1.891,
1.52,2.039,-1.868,
1.53,2.033,-1.846,
1.54,2.028,-1.825,
1.55,2.023,-1.804,
1.56,2.018,-1.783,
1.57,2.013,-1.763,
1.58,2.008,-1.743,
1.59,2.003,-1.724,
1.6,1.999,-1.706,
1.61,1.994,-1.688,
1.62,1.99,-1.67,
1.63,1.986,-1.654,
1.64,1.982,-1.638,
1.65,1.978,-1.623,
1.66,1.975,-1.608,
1.67,1.971,-1.595,
1.68,1.968,-1.582,
1.69,1.965,-1.57,
1.7,1.963,-1.559,
1.71,1.96,-1.55,
1.72,1.958,-1.541,
1.73,1.956,-1.533,
1.74,1.954,-1.526,
1.75,1.953,-1.52,
1.76,1.952,-1.515,
1.77,1.951,-1.511,
1.78,1.95,-1.508,
1.79,1.95,-1.506,
1.8,1.949,-1.506,
1.8,1.949,-1.506,
1.81,1.949,-1.506,
1.82,1.949,-1.506,
1.83,1.949,-1.505,
1.84,1.949,-1.505,
1.85,1.949,-1.504,
1.86,1.949,-1.503,
