"time","q",,
2,3.134,-2.457,
2.1,3.131,-2.454,
2.2,3.121,-2.444,
2.3,3.104,-2.427,
2.4,3.08,-2.401,
2.5,3.048,-2.366,
2.6,3.009,-2.322,
2.7,2.963,-2.267,
2.8,2.911,-2.201,
2.9,2.851,-2.123,
3,2.784,-2.032,
3.1,2.712,-1.929,
3.2,2.64,-1.821,
3.3,2.571,-1.715,
3.4,2.509,-1.617,
3.5,2.455,-1.531,
3.6,2.412,-1.461,
3.7,2.384,-1.415,
3.8,2.374,-1.399,
3.89,2.373,-1.397,
3.99,2.37,-1.392,
4.09,2.368,-1.388,
4.19,2.369,-1.39,
4.29,2.377,-1.403,
4.39,2.392,-1.429,
4.49,2.416,-1.467,
4.59,2.448,-1.52,
4.69,2.49,-1.588,
4.79,2.542,-1.67,
4.89,2.603,-1.765,
4.99,2.673,-1.871,
5.09,2.749,-1.982,
5.19,2.828,-2.093,
5.29,2.908,-2.198,
5.39,2.987,-2.296,
5.49,3.064,-2.384,
5.59,3.134,-2.457,
5.69,3.184,-2.506,
2.38,3.085,-2.407,
2.39,3.083,-2.404,
2.4,3.08,-2.401,
2.41,3.077,-2.398,
2.42,3.074,-2.395,
2.43,3.071,-2.391,
2.44,3.068,-2.388,
2.45,3.065,-2.385,
2.46,3.062,-2.381,
2.47,3.058,-2.377,
2.48,3.055,-2.374,
2.49,3.052,-2.37,
2.5,3.048,-2.366,
2.51,3.045,-2.362,
2.52,3.041,-2.358,
2.53,3.037,-2.354,
2.54,3.033,-2.349,
2.55,3.03,-2.345,
2.56,3.026,-2.341,
2.57,3.022,-2.336,
2.58,3.018,-2.331,
2.59,3.013,-2.326,
2.6,3.009,-2.322,
2.61,3.005,-2.317,
2.62,3.001,-2.312,
2.63,2.996,-2.306,
2.64,2.992,-2.301,
2.65,2.987,-2.296,
2.66,2.983,-2.29,
2.67,2.978,-2.285,
2.68,2.973,-2.279,
2.69,2.968,-2.273,
2.7,2.963,-2.267,
2.71,2.958,-2.261,
2.72,2.953,-2.255,
2.73,2.948,-2.249,
2.74,2.943,-2.242,
2.75,2.938,-2.236,
2.76,2.932,-2.229,
2.77,2.927,-2.222,
2.78,2.922,-2.215,
2.79,2.916,-2.208,
2.8,2.911,-2.201,
2.81,2.905,-2.194,
2.82,2.899,-2.187,
2.83,2.893,-2.179,
2.84,2.887,-2.172,
2.85,2.881,-2.164,
2.86,2.875,-2.156,
2.87,2.869,-2.148,
2.88,2.863,-2.14,
2.89,2.857,-2.131,
2.9,2.851,-2.123,
2.91,2.844,-2.114,
2.92,2.838,-2.106,
2.93,2.831,-2.097,
2.94,2.825,-2.088,
2.95,2.818,-2.079,
2.96,2.811,-2.07,
2.97,2.804,-2.06,
2.98,2.798,-2.051,
2.99,2.791,-2.041,
3,2.784,-2.032,
3.01,2.777,-2.022,
3.02,2.77,-2.012,
3.03,2.763,-2.002,
3.04,2.756,-1.992,
3.05,2.748,-1.981,
3.06,2.741,-1.971,
3.07,2.734,-1.961,
3.08,2.727,-1.95,
3.09,2.719,-1.94,
3.1,2.712,-1.929,
3.11,2.705,-1.918,
3.12,2.698,-1.908,
3.13,2.69,-1.897,
3.14,2.683,-1.886,
3.15,2.676,-1.875,
3.16,2.668,-1.865,
3.17,2.661,-1.854,
3.18,2.654,-1.843,
3.19,2.647,-1.832,
3.2,2.64,-1.821,
3.21,2.633,-1.81,
3.22,2.625,-1.8,
3.23,2.618,-1.789,
3.24,2.611,-1.778,
3.25,2.604,-1.768,
3.26,2.598,-1.757,
3.27,2.591,-1.746,
3.28,2.584,-1.736,
3.29,2.577,-1.726,
3.3,2.571,-1.715,
3.31,2.564,-1.705,
3.32,2.558,-1.695,
3.33,2.551,-1.685,
3.34,2.545,-1.675,
3.35,2.539,-1.665,
3.36,2.532,-1.655,
3.37,2.526,-1.646,
3.38,2.52,-1.636,
3.39,2.514,-1.627,
3.4,2.509,-1.617,
3.41,2.503,-1.608,
3.42,2.497,-1.599,
3.43,2.491,-1.59,
3.44,2.486,-1.581,
3.45,2.48,-1.572,
3.46,2.475,-1.564,
3.47,2.47,-1.555,
3.48,2.465,-1.547,
3.49,2.46,-1.539,
3.5,2.455,-1.531,
3.51,2.45,-1.523,
3.52,2.445,-1.515,
3.53,2.441,-1.508,
3.54,2.436,-1.501,
3.55,2.432,-1.494,
3.56,2.428,-1.487,
3.57,2.424,-1.48,
3.58,2.42,-1.474,
3.59,2.416,-1.467,
3.6,2.412,-1.461,
3.61,2.409,-1.456,
3.62,2.405,-1.45,
3.63,2.402,-1.445,
3.64,2.399,-1.44,
3.65,2.396,-1.435,
3.66,2.393,-1.431,
3.67,2.391,-1.426,
3.68,2.388,-1.422,
3.69,2.386,-1.419,
3.7,2.384,-1.415,
3.71,2.382,-1.412,
3.72,2.381,-1.41,
3.73,2.379,-1.407,
3.74,2.378,-1.405,
3.75,2.377,-1.403,
3.76,2.376,-1.402,
3.77,2.375,-1.401,
3.78,2.375,-1.4,
3.79,2.374,-1.399,
3.8,2.374,-1.399,
3.8,2.374,-1.399,
3.81,2.374,-1.399,
3.82,2.374,-1.399,
3.83,2.374,-1.399,
3.84,2.374,-1.399,
3.85,2.374,-1.399,
3.86,2.374,-1.398,
3.87,2.374,-1.398,
3.88,2.373,-1.398,
3.89,2.373,-1.397,
3.9,2.373,-1.397,
3.91,2.373,-1.396,
3.92,2.372,-1.396,
3.93,2.372,-1.395,
3.94,2.372,-1.395,
3.95,2.371,-1.394,
3.96,2.371,-1.394,
3.97,2.371,-1.393,
3.98,2.37,-1.393,
3.99,2.37,-1.392,
4,2.37,-1.392,
4.01,2.369,-1.391,
4.02,2.369,-1.391,
4.03,2.369,-1.39,
4.04,2.369,-1.39,
4.05,2.368,-1.389,
4.06,2.368,-1.389,
4.07,2.368,-1.389,
4.08,2.368,-1.388,
4.09,2.368,-1.388,
4.1,2.368,-1.388,
4.11,2.367,-1.388,
4.12,2.367,-1.388,
4.13,2.368,-1.388,
4.14,2.368,-1.388,
4.15,2.368,-1.388,
4.16,2.368,-1.389,
4.17,2.368,-1.389,
4.18,2.369,-1.39,
4.19,2.369,-1.39,
4.2,2.369,-1.391,
4.21,2.37,-1.392,
4.22,2.37,-1.393,
4.23,2.371,-1.394,
4.24,2.372,-1.395,
4.25,2.373,-1.396,
4.26,2.374,-1.398,
4.27,2.374,-1.399,
4.28,2.376,-1.401,
4.29,2.377,-1.403,
4.3,2.378,-1.405,
4.31,2.379,-1.407,
4.32,2.38,-1.409,
4.33,2.382,-1.412,
4.34,2.383,-1.414,
4.35,2.385,-1.417,
4.36,2.387,-1.419,
4.37,2.388,-1.422,
4.38,2.39,-1.425,
4.39,2.392,-1.429,
4.4,2.394,-1.432,
4.41,2.396,-1.435,
4.42,2.398,-1.439,
4.43,2.401,-1.442,
4.44,2.403,-1.446,
4.45,2.405,-1.45,
4.46,2.408,-1.454,
4.47,2.41,-1.459,
4.48,2.413,-1.463,
4.49,2.416,-1.467,
4.5,2.419,-1.472,
4.51,2.422,-1.477,
4.52,2.425,-1.482,
4.53,2.428,-1.487,
4.54,2.431,-1.492,
4.55,2.434,-1.497,
4.56,2.438,-1.503,
4.57,2.441,-1.509,
4.58,2.445,-1.514,
4.59,2.448,-1.52,
4.6,2.452,-1.526,
4.61,2.456,-1.533,
4.62,2.46,-1.539,
4.63,2.464,-1.545,
4.64,2.468,-1.552,
4.65,2.472,-1.559,
4.66,2.476,-1.566,
4.67,2.481,-1.573,
4.68,2.485,-1.58,
4.69,2.49,-1.588,
4.7,2.495,-1.595,
4.71,2.499,-1.603,
4.72,2.504,-1.611,
4.73,2.509,-1.619,
4.74,2.514,-1.627,
4.75,2.52,-1.635,
4.76,2.525,-1.643,
4.77,2.53,-1.652,
4.78,2.536,-1.661,
4.79,2.542,-1.67,
4.8,2.547,-1.679,
4.81,2.553,-1.688,
4.82,2.559,-1.697,
4.83,2.565,-1.706,
4.84,2.571,-1.716,
4.85,2.577,-1.725,
4.86,2.584,-1.735,
4.87,2.59,-1.745,
4.88,2.596,-1.755,
4.89,2.603,-1.765,
4.9,2.61,-1.775,
4.91,2.616,-1.786,
4.92,2.623,-1.796,
4.93,2.63,-1.807,
4.94,2.637,-1.817,
4.95,2.644,-1.828,
4.96,2.651,-1.839,
4.97,2.658,-1.85,
4.98,2.666,-1.86,
4.99,2.673,-1.871,
5,2.68,-1.882,
5.01,2.688,-1.893,
5.02,2.695,-1.904,
5.03,2.703,-1.915,
5.04,2.71,-1.927,
5.05,2.718,-1.938,
5.06,2.726,-1.949,
5.07,2.733,-1.96,
5.08,2.741,-1.971,
5.09,2.749,-1.982,
5.1,2.757,-1.994,
5.11,2.765,-2.005,
5.12,2.773,-2.016,
5.13,2.78,-2.027,
5.14,2.788,-2.038,
5.15,2.796,-2.049,
5.16,2.804,-2.06,
5.17,2.812,-2.071,
5.18,2.82,-2.082,
5.19,2.828,-2.093,
5.2,2.836,-2.103,
5.21,2.844,-2.114,
5.22,2.852,-2.125,
5.23,2.86,-2.135,
5.24,2.868,-2.146,
5.25,2.876,-2.157,
5.26,2.884,-2.167,
5.27,2.892,-2.177,
5.28,2.9,-2.188,
5.29,2.908,-2.198,
5.3,2.916,-2.208,
5.31,2.924,-2.218,
5.32,2.932,-2.228,
5.33,2.94,-2.238,
5.34,2.948,-2.248,
5.35,2.956,-2.258,
5.36,2.964,-2.267,
5.37,2.971,-2.277,
5.38,2.979,-2.286,
5.39,2.987,-2.296,
5.4,2.995,-2.305,
5.41,3.003,-2.314,
5.42,3.011,-2.324,
5.43,3.019,-2.333,
5.44,3.026,-2.341,
5.45,3.034,-2.35,
5.46,3.042,-2.359,
5.47,3.049,-2.367,
5.48,3.057,-2.376,
5.49,3.064,-2.384,
5.5,3.072,-2.392,
5.51,3.079,-2.4,
5.52,3.086,-2.408,
5.53,3.094,-2.415,
5.54,3.101,-2.423,
5.55,3.107,-2.43,
5.56,3.114,-2.437,
5.57,3.121,-2.444,
5.58,3.127,-2.45,
5.59,3.134,-2.457,
5.6,3.14,-2.463,
5.61,3.145,-2.469,
5.62,3.151,-2.474,
5.63,3.157,-2.48,
5.64,3.162,-2.485,
5.65,3.167,-2.49,
5.66,3.172,-2.494,
5.67,3.176,-2.499,
5.68,3.18,-2.503,
5.69,3.184,-2.506,
5.7,3.188,-2.51,
5.71,3.191,-2.513,
5.72,3.194,-2.516,
5.73,3.197,-2.518,
5.74,3.199,-2.52,
5.75,3.201,-2.522,
5.76,3.203,-2.524,
5.77,3.204,-2.525,
