"q",,"time",
-3.5612,-1.9434,1e-06,
-3.5603,-1.9433,0.010001,
-3.5579,-1.9427,0.020001,
-3.5542,-1.9417,0.030001,
-3.5497,-1.9403,0.040001,
-3.5446,-1.9383,0.050001,
-3.5392,-1.9359,0.060001,
-3.534,-1.9328,0.070001,
-3.5293,-1.9291,0.080001,
-3.5253,-1.9248,0.090001,
-3.5224,-1.9197,0.1,
-3.5209,-1.9139,0.11,
-3.5208,-1.9073,0.12,
-3.5222,-1.8998,0.13,
-3.5248,-1.8915,0.14,
-3.5288,-1.8822,0.15,
-3.5341,-1.8719,0.16,
-3.5407,-1.8606,0.17,
-3.5485,-1.8483,0.18,
-3.5575,-1.8348,0.19,
-3.5676,-1.8201,0.2,
-3.5788,-1.8043,0.21,
-3.5909,-1.7875,0.22,
-3.6036,-1.7701,0.23,
-3.6165,-1.7523,0.24,
-3.6295,-1.7346,0.25,
-3.6393,-1.7227,0.26,
-3.643,-1.7219,0.27,
-3.6412,-1.7312,0.28,
-3.6342,-1.7495,0.29,
-3.6226,-1.7759,0.3,
-3.6072,-1.8091,0.31,
-3.5886,-1.8476,0.32,
-3.5677,-1.8899,0.33,
-3.5453,-1.9345,0.34,
-3.5222,-1.9802,0.35,
-3.499,-2.0257,0.36,
-3.4765,-2.0697,0.37,
-3.4552,-2.1113,0.38,
-3.4357,-2.1493,0.39,
-3.4187,-2.1828,0.4,
-3.4048,-2.2107,0.41,
-3.3945,-2.2321,0.42,
-3.3885,-2.246,0.43,
-3.3875,-2.2512,0.44,
-3.3933,-2.2474,0.45,
-3.406,-2.235,0.46,
-3.4245,-2.2149,0.47,
-3.4479,-2.1878,0.48,
-3.4752,-2.1544,0.49,
-3.5055,-2.1153,0.5,
-3.5381,-2.0713,0.51,
-3.572,-2.0236,0.52,
-3.6063,-1.9733,0.53,
-3.6403,-1.9219,0.54,
-3.6731,-1.8706,0.55,
-3.7039,-1.8211,0.56,
-3.7318,-1.775,0.57,
-3.7559,-1.7341,0.58,
-3.7753,-1.7003,0.59,
-3.7887,-1.6755,0.6,
-3.7951,-1.6617,0.61,
-3.7937,-1.6601,0.62,
-3.7846,-1.6703,0.63,
-3.7738,-1.6836,0.64,
-3.7624,-1.6983,0.65,
-3.7504,-1.714,0.66,
-3.738,-1.7305,0.67,
-3.7253,-1.7475,0.68,
-3.7122,-1.7647,0.69,
-3.699,-1.782,0.7,
-3.6857,-1.7991,0.71,
-3.6724,-1.8158,0.72,
-3.6592,-1.832,0.73,
-3.6463,-1.8476,0.74,
-3.6338,-1.8625,0.75,
-3.6218,-1.8765,0.76,
-3.6104,-1.8894,0.77,
-3.5999,-1.9013,0.78,
-3.5903,-1.912,0.79,
-3.5817,-1.9213,0.8,
-3.5744,-1.9291,0.81,
-3.5681,-1.9356,0.82,
-3.5628,-1.9408,0.83,
-3.5583,-1.9447,0.84,
-3.5545,-1.9476,0.85,
-3.5512,-1.9494,0.86,
-3.5484,-1.9502,0.87,
-3.5459,-1.9501,0.88,
-3.5436,-1.9491,0.89,
-3.5413,-1.9474,0.9,
-3.539,-1.9449,0.91,
-3.5368,-1.9415,0.92,
-3.5348,-1.9373,0.93,
-3.5333,-1.932,0.94,
