"q",,"time",
-3.8428,-1.4705,1e-06,
-3.842,-1.4702,0.010001,
-3.8398,-1.4693,0.020001,
-3.8364,-1.4677,0.030001,
-3.8324,-1.4654,0.040001,
-3.8279,-1.4623,0.050001,
-3.8234,-1.4583,0.060001,
-3.8192,-1.4533,0.070001,
-3.8157,-1.4474,0.080001,
-3.8132,-1.4403,0.090001,
-3.812,-1.4321,0.1,
-3.8125,-1.4226,0.11,
-3.8148,-1.4118,0.12,
-3.8187,-1.3995,0.13,
-3.8244,-1.3857,0.14,
-3.8317,-1.3702,0.15,
-3.8408,-1.3531,0.16,
-3.8516,-1.334,0.17,
-3.8641,-1.313,0.18,
-3.8784,-1.2898,0.19,
-3.8945,-1.2644,0.2,
-3.9124,-1.2365,0.21,
-3.9317,-1.2066,0.22,
-3.9521,-1.1751,0.23,
-3.9733,-1.1424,0.24,
-3.9949,-1.1092,0.25,
-4.0106,-1.0866,0.26,
-4.0148,-1.085,0.27,
-4.0082,-1.1027,0.28,
-3.9923,-1.1373,0.29,
-3.9685,-1.1858,0.3,
-3.9386,-1.2451,0.31,
-3.9045,-1.3119,0.32,
-3.8678,-1.3831,0.33,
-3.8299,-1.4561,0.34,
-3.7921,-1.529,0.35,
-3.7552,-1.5999,0.36,
-3.7202,-1.6673,0.37,
-3.6879,-1.7298,0.38,
-3.6588,-1.7861,0.39,
-3.6338,-1.8351,0.4,
-3.6134,-1.8757,0.41,
-3.5983,-1.9065,0.42,
-3.5892,-1.9263,0.43,
-3.587,-1.9338,0.44,
-3.5937,-1.9283,0.45,
-3.6091,-1.9106,0.46,
-3.6321,-1.8817,0.47,
-3.6617,-1.8424,0.48,
-3.697,-1.7935,0.49,
-3.7372,-1.7357,0.5,
-3.7814,-1.6697,0.51,
-3.8288,-1.5967,0.52,
-3.8783,-1.5182,0.53,
-3.9292,-1.4356,0.54,
-3.9802,-1.3508,0.55,
-4.0304,-1.2661,0.56,
-4.0781,-1.1841,0.57,
-4.1216,-1.1082,0.58,
-4.1584,-1.0429,0.59,
-4.1857,-0.9933,0.6,
-4.2003,-0.96487,0.61,
-4.1998,-0.9616,0.62,
-4.1846,-0.98267,0.63,
-4.1661,-1.0097,0.64,
-4.1466,-1.039,0.65,
-4.1263,-1.0697,0.66,
-4.1054,-1.1014,0.67,
-4.0844,-1.1334,0.68,
-4.0632,-1.1653,0.69,
-4.0422,-1.1967,0.7,
-4.0214,-1.2273,0.71,
-4.0011,-1.2568,0.72,
-3.9813,-1.285,0.73,
-3.9622,-1.3118,0.74,
-3.944,-1.3371,0.75,
-3.9268,-1.3606,0.76,
-3.9107,-1.3823,0.77,
-3.8959,-1.402,0.78,
-3.8825,-1.4194,0.79,
-3.8708,-1.4346,0.8,
-3.8608,-1.4474,0.81,
-3.8524,-1.4578,0.82,
-3.8453,-1.4662,0.83,
-3.8395,-1.4726,0.84,
-3.8348,-1.4771,0.85,
-3.8309,-1.48,0.86,
-3.8279,-1.4813,0.87,
-3.8254,-1.4812,0.88,
-3.8234,-1.4796,0.89,
-3.8217,-1.4768,0.9,
-3.8202,-1.4728,0.91,
-3.8191,-1.4674,0.92,
-3.8185,-1.4605,0.93,
-3.8188,-1.452,0.94,
-3.82,-1.4415,0.95,
-3.8226,-1.429,0.96,
-3.8266,-1.4142,0.97,
-3.8324,-1.3968,0.98,
-3.8402,-1.3766,0.99,
-3.8503,-1.3533,1,
-3.863,-1.3267,1.01,
-3.8777,-1.2973,1.02,
-3.8941,-1.2657,1.03,
-3.9115,-1.2328,1.04,
-3.9293,-1.1993,1.05,
-3.947,-1.1663,1.06,
-3.9638,-1.1347,1.07,
-3.979,-1.1056,1.08,
-3.9916,-1.0804,1.09,
-4.0009,-1.0604,1.1,
-4.0062,-1.0466,1.11,
-4.0078,-1.0386,1.12,
-4.0044,-1.0385,1.13,
-3.9879,-1.0621,1.14,
-3.9594,-1.1076,1.15,
-3.9219,-1.1695,1.16,
-3.8783,-1.2427,1.17,
-3.8311,-1.3227,1.18,
-3.7824,-1.406,1.19,
-3.7339,-1.4897,1.2,
-3.6869,-1.5714,1.21,
-3.6423,-1.65,1.22,
-3.6009,-1.7242,1.23,
-3.5631,-1.7932,1.24,
-3.5296,-1.8561,1.25,
-3.5009,-1.912,1.26,
-3.4774,-1.9601,1.27,
-3.4597,-1.9996,1.28,
-3.4481,-2.0296,1.29,
-3.4428,-2.0492,1.3,
-3.4442,-2.0574,1.31,
-3.4539,-2.0532,1.32,
-3.4747,-2.0366,1.33,
-3.5049,-2.0088,1.34,
-3.5429,-1.9707,1.35,
-3.5871,-1.9233,1.36,
-3.6361,-1.8675,1.37,
-3.6888,-1.8043,1.38,
-3.744,-1.7343,1.39,
-3.8008,-1.6586,1.4,
-3.8585,-1.5781,1.41,
-3.9161,-1.4944,1.42,
-3.9725,-1.4093,1.43,
-4.0265,-1.3253,1.44,
-4.0767,-1.245,1.45,
-4.1212,-1.172,1.46,
-4.1576,-1.1105,1.47,
-4.1832,-1.0654,1.48,
-4.1951,-1.0418,1.49,
-4.1906,-1.0444,1.5,
-4.1759,-1.0636,1.51,
-4.1593,-1.0868,1.52,
-4.1411,-1.1131,1.53,
-4.122,-1.1414,1.54,
-4.1021,-1.1708,1.55,
-4.082,-1.2004,1.56,
-4.062,-1.2297,1.57,
-4.0423,-1.2578,1.58,
-4.0232,-1.2842,1.59,
-4.005,-1.3084,1.6,
-3.9878,-1.3299,1.61,
-3.9718,-1.349,1.62,
-3.9568,-1.3657,1.63,
-3.9428,-1.3803,1.64,
-3.9298,-1.393,1.65,
-3.9177,-1.404,1.66,
-3.9067,-1.4133,1.67,
-3.8966,-1.4211,1.68,
-3.8876,-1.4276,1.69,
-3.8795,-1.4329,1.7,
-3.8723,-1.4369,1.71,
-3.8662,-1.4399,1.72,
-3.8609,-1.4418,1.73,
-3.8564,-1.4427,1.74,
-3.8528,-1.4425,1.75,
-3.85,-1.4412,1.76,
-3.8479,-1.439,1.77,
-3.8464,-1.4357,1.78,
-3.8457,-1.4313,1.79,
-3.8456,-1.4259,1.8,
-3.8462,-1.4194,1.81,
-3.8474,-1.4117,1.82,
-3.8493,-1.4028,1.83,
-3.8519,-1.3925,1.84,
-3.8553,-1.3807,1.85,
-3.8596,-1.3673,1.86,
-3.8647,-1.3521,1.87,
-3.8707,-1.3351,1.88,
-3.8778,-1.316,1.89,
-3.886,-1.2947,1.9,
-3.8954,-1.271,1.91,
-3.9056,-1.2453,1.92,
-3.9165,-1.2182,1.93,
-3.9276,-1.1902,1.94,
-3.9387,-1.162,1.95,
-3.9491,-1.1343,1.96,
-3.9586,-1.1078,1.97,
-3.9665,-1.0834,1.98,
-3.9723,-1.0622,1.99,
-3.9754,-1.0449,2,
-3.9692,-1.0444,2.01,
-3.9488,-1.0701,2.02,
-3.9169,-1.1172,2.03,
-3.8765,-1.1805,2.04,
-3.8305,-1.2551,2.05,
-3.7814,-1.3367,2.06,
-3.7312,-1.4218,2.07,
-3.6816,-1.5076,2.08,
-3.6341,-1.5918,2.09,
-3.5898,-1.6727,2.1,
-3.5499,-1.7484,2.11,
