"time","q",,
1e-06,-3.5612,-1.9434,
0.010001,-3.5613,-1.9434,
0.020001,-3.5618,-1.9426,
0.030001,-3.5633,-1.9404,
0.040001,-3.5663,-1.936,
0.050001,-3.5712,-1.9289,
0.060001,-3.5786,-1.9181,
0.070001,-3.5888,-1.903,
0.080001,-3.6025,-1.8828,
0.090001,-3.62,-1.8566,
0.1,-3.642,-1.8236,
0.11,-3.6687,-1.783,
0.12,-3.6995,-1.7355,
0.13,-3.7338,-1.682,
0.14,-3.7707,-1.6236,
0.15,-3.8097,-1.5611,
0.16,-3.8501,-1.4957,
0.17,-3.891,-1.4286,
0.18,-3.9283,-1.367,
0.19,-3.9405,-1.3467,
0.2,-3.927,-1.3691,
0.21,-3.8923,-1.4266,
0.22,-3.842,-1.5088,
0.23,-3.7817,-1.606,
0.24,-3.7159,-1.71,
0.25,-3.6484,-1.8138,
0.26,-3.5829,-1.9118,
0.27,-3.5226,-1.9988,
0.28,-3.4716,-2.0702,
0.29,-3.4341,-2.1211,
0.3,-3.4148,-2.1466,
0.31,-3.4172,-2.1435,
0.32,-3.4383,-2.1154,
0.33,-3.4734,-2.0676,
0.34,-3.5179,-2.0055,
0.35,-3.5675,-1.9342,
0.36,-3.6183,-1.8592,
0.37,-3.6665,-1.7864,
0.38,-3.7079,-1.7224,
0.39,-3.7385,-1.6745,
0.4,-3.7538,-1.6504,
0.41,-3.7495,-1.6572,
0.42,-3.7229,-1.699,
0.43,-3.6752,-1.7729,
0.44,-3.6258,-1.848,
0.45,-3.579,-1.9174,
0.46,-3.5363,-1.9793,
0.47,-3.4992,-2.0319,
0.48,-3.4692,-2.0734,
0.49,-3.4482,-2.1021,
0.5,-3.4379,-2.1159,
0.51,-3.4397,-2.1135,
0.52,-3.4524,-2.0964,
0.53,-3.4741,-2.0667,
0.54,-3.5032,-2.0263,
0.55,-3.5379,-1.9771,
0.56,-3.5765,-1.9211,
0.57,-3.6176,-1.8602,
0.58,-3.6574,-1.8002,
0.59,-3.6807,-1.7645,
0.6,-3.6865,-1.7555,
0.61,-3.6767,-1.7706,
0.62,-3.6543,-1.805,
0.63,-3.6225,-1.853,
0.64,-3.5845,-1.9094,
0.65,-3.5435,-1.969,
0.66,-3.5025,-2.0273,
0.67,-3.4645,-2.0799,
0.68,-3.4329,-2.1226,
0.69,-3.4112,-2.1514,
0.7,-3.4031,-2.162,
0.71,-3.4109,-2.1517,
0.72,-3.4324,-2.1233,
0.73,-3.4637,-2.081,
0.74,-3.5014,-2.0287,
0.75,-3.5422,-1.9708,
0.76,-3.583,-1.9116,
0.77,-3.6207,-1.8556,
0.78,-3.6523,-1.808,
0.79,-3.6745,-1.7741,
0.8,-3.684,-1.7594,
0.81,-3.678,-1.7687,
0.82,-3.6544,-1.8047,
0.83,-3.6145,-1.8649,
0.84,-3.5732,-1.926,
0.85,-3.5344,-1.9821,
0.86,-3.4996,-2.0313,
0.87,-3.4705,-2.0717,
0.88,-3.4488,-2.1013,
0.89,-3.4363,-2.1181,
0.9,-3.4348,-2.1201,
0.91,-3.4455,-2.1058,
0.92,-3.467,-2.0765,
0.93,-3.4976,-2.0342,
0.94,-3.5354,-1.9806,
0.95,-3.5788,-1.9177,
0.96,-3.6264,-1.8471,
0.97,-3.6767,-1.7707,
0.98,-3.7251,-1.6956,
0.99,-3.7512,-1.6545,
1,-3.7538,-1.6503,
1.01,-3.736,-1.6784,
1.02,-3.7023,-1.7312,
1.03,-3.6572,-1.8004,
1.04,-3.6054,-1.8785,
1.05,-3.5509,-1.9584,
1.06,-3.4977,-2.034,
1.07,-3.4499,-2.0997,
1.08,-3.4123,-2.1499,
1.09,-3.3898,-2.1793,
1.1,-3.3876,-2.1822,
1.11,-3.4088,-2.1546,
1.12,-3.4497,-2.1001,
1.13,-3.505,-2.0237,
1.14,-3.5701,-1.9305,
1.15,-3.6408,-1.8253,
1.16,-3.7138,-1.7133,
1.17,-3.7853,-1.6002,
1.18,-3.8516,-1.4933,
1.19,-3.9076,-1.4012,
1.2,-3.9477,-1.3346,
1.21,-3.9655,-1.305,
1.22,-3.9556,-1.3214,
1.23,-3.9189,-1.3825,
1.24,-3.8783,-1.4496,
1.25,-3.8384,-1.5147,
1.26,-3.8001,-1.5766,
1.27,-3.7639,-1.6343,
1.28,-3.7307,-1.6867,
1.29,-3.7012,-1.7329,
1.3,-3.6759,-1.7718,
1.31,-3.6556,-1.8029,
1.32,-3.6399,-1.8268,
1.33,-3.628,-1.8446,
1.34,-3.6196,-1.8573,
1.35,-3.6139,-1.8657,
1.36,-3.6106,-1.8708,
1.37,-3.6089,-1.8732,
