"time","q",,
1e-06,-3.6409,-1.8963,
0.010001,-3.641,-1.8961,
0.020001,-3.6418,-1.8949,
0.030001,-3.644,-1.8915,
0.040001,-3.6483,-1.8848,
0.050001,-3.6554,-1.8737,
0.060001,-3.666,-1.8571,
0.070001,-3.6808,-1.8336,
0.080001,-3.7007,-1.8021,
0.090001,-3.7263,-1.7609,
0.1,-3.7586,-1.7085,
0.11,-3.7983,-1.6433,
0.12,-3.8449,-1.5657,
0.13,-3.8977,-1.4765,
0.14,-3.9563,-1.376,
0.15,-4.0203,-1.2647,
0.16,-4.0898,-1.1421,
0.17,-4.1651,-1.0076,
0.18,-4.2396,-0.87308,
0.19,-4.2659,-0.82534,
0.2,-4.2369,-0.87797,
0.21,-4.1674,-1.0034,
0.22,-4.0757,-1.1672,
0.23,-3.9741,-1.3453,
0.24,-3.87,-1.5235,
0.25,-3.7682,-1.6929,
0.26,-3.6722,-1.8473,
0.27,-3.5858,-1.9811,
0.28,-3.5134,-2.0891,
0.29,-3.4605,-2.1655,
0.3,-3.4334,-2.2036,
0.31,-3.4368,-2.1989,
0.32,-3.4665,-2.157,
0.33,-3.516,-2.0854,
0.34,-3.5791,-1.9913,
0.35,-3.6501,-1.882,
0.36,-3.7238,-1.7649,
0.37,-3.795,-1.6488,
0.38,-3.8578,-1.5441,
0.39,-3.9052,-1.4637,
0.4,-3.9292,-1.4226,
0.41,-3.9225,-1.4342,
0.42,-3.8809,-1.5051,
0.43,-3.8082,-1.627,
0.44,-3.7347,-1.7473,
0.45,-3.6666,-1.856,
0.46,-3.6053,-1.9514,
0.47,-3.5524,-2.0314,
0.48,-3.51,-2.0941,
0.49,-3.4804,-2.1371,
0.5,-3.466,-2.1577,
0.51,-3.4684,-2.1542,
0.52,-3.4863,-2.1286,
0.53,-3.517,-2.0839,
0.54,-3.5581,-2.0229,
0.55,-3.6075,-1.948,
0.56,-3.663,-1.8617,
0.57,-3.7228,-1.7666,
0.58,-3.7815,-1.6711,
0.59,-3.8164,-1.6133,
0.6,-3.8252,-1.5986,
0.61,-3.8104,-1.6232,
0.62,-3.7768,-1.6787,
0.63,-3.7299,-1.7552,
0.64,-3.6746,-1.8435,
0.65,-3.6156,-1.9356,
0.66,-3.5571,-2.0245,
0.67,-3.5034,-2.1038,
0.68,-3.4588,-2.1679,
0.69,-3.4284,-2.2107,
0.7,-3.417,-2.2266,
0.71,-3.428,-2.2113,
0.72,-3.4581,-2.1689,
0.73,-3.5023,-2.1054,
0.74,-3.5556,-2.0266,
0.75,-3.6138,-1.9383,
0.76,-3.6724,-1.8469,
0.77,-3.7273,-1.7593,
0.78,-3.7739,-1.6836,
0.79,-3.807,-1.6289,
0.8,-3.8215,-1.6049,
0.81,-3.8123,-1.6201,
0.82,-3.7771,-1.6783,
0.83,-3.7182,-1.774,
0.84,-3.6582,-1.8693,
0.85,-3.6025,-1.9556,
0.86,-3.553,-2.0305,
0.87,-3.5118,-2.0915,
0.88,-3.4812,-2.1359,
0.89,-3.4636,-2.1611,
0.9,-3.4615,-2.164,
0.91,-3.4765,-2.1426,
0.92,-3.5069,-2.0987,
0.93,-3.5502,-2.0348,
0.94,-3.604,-1.9534,
0.95,-3.6664,-1.8565,
0.96,-3.7356,-1.7459,
0.97,-3.8103,-1.6234,
0.98,-3.8842,-1.4994,
0.99,-3.9252,-1.4296,
1,-3.9293,-1.4225,
1.01,-3.9013,-1.4704,
1.02,-3.8491,-1.5586,
1.03,-3.7813,-1.6714,
1.04,-3.7049,-1.7953,
1.05,-3.6261,-1.9193,
1.06,-3.5503,-2.0346,
1.07,-3.4828,-2.1335,
1.08,-3.4299,-2.2086,
1.09,-3.3983,-2.2523,
1.1,-3.3952,-2.2565,
1.11,-3.4249,-2.2155,
1.12,-3.4825,-2.1341,
1.13,-3.5607,-2.019,
1.14,-3.6537,-1.8763,
1.15,-3.7569,-1.7113,
1.16,-3.8668,-1.5289,
1.17,-3.98,-1.335,
1.18,-4.0925,-1.1374,
1.19,-4.1975,-0.94939,
1.2,-4.2819,-0.79612,
1.21,-4.3234,-0.72042,
1.22,-4.3,-0.76309,
1.23,-4.2202,-0.90831,
1.24,-4.141,-1.0509,
1.25,-4.0693,-1.1784,
1.26,-4.0042,-1.2928,
1.27,-3.9454,-1.3948,
1.28,-3.893,-1.4845,
1.29,-3.8474,-1.5615,
1.3,-3.8093,-1.6252,
1.31,-3.7789,-1.6753,
1.32,-3.7555,-1.7136,
1.33,-3.738,-1.7419,
1.34,-3.7256,-1.762,
1.35,-3.7174,-1.7753,
1.36,-3.7125,-1.7832,
1.37,-3.71,-1.7871,
