"q",,"time",
-3.1489,-2.4574,1e-06,
-3.1489,-2.4575,0.010001,
-3.149,-2.4574,0.020001,
-3.1492,-2.4572,0.030001,
-3.1494,-2.457,0.040001,
-3.1497,-2.4567,0.050001,
-3.15,-2.4563,0.060001,
-3.1505,-2.4559,0.070001,
-3.1509,-2.4554,0.080001,
-3.1515,-2.4549,0.090001,
-3.1521,-2.4542,0.1,
-3.1528,-2.4536,0.11,
-3.1535,-2.4528,0.12,
-3.1543,-2.452,0.13,
-3.1552,-2.4511,0.14,
-3.1562,-2.4501,0.15,
-3.1572,-2.4491,0.16,
-3.1583,-2.448,0.17,
-3.1594,-2.4468,0.18,
-3.1606,-2.4456,0.19,
-3.1619,-2.4442,0.2,
-3.1633,-2.4428,0.21,
-3.1647,-2.4414,0.22,
-3.1662,-2.4398,0.23,
-3.1678,-2.4382,0.24,
-3.1695,-2.4365,0.25,
-3.1712,-2.4347,0.26,
-3.173,-2.4328,0.27,
-3.1749,-2.4309,0.28,
-3.1768,-2.4288,0.29,
-3.1788,-2.4267,0.3,
-3.1809,-2.4245,0.31,
-3.1831,-2.4222,0.32,
-3.1854,-2.4198,0.33,
-3.1877,-2.4174,0.34,
-3.1901,-2.4149,0.35,
-3.1926,-2.4122,0.36,
-3.1951,-2.4095,0.37,
-3.1978,-2.4067,0.38,
-3.2005,-2.4038,0.39,
-3.2032,-2.4008,0.4,
-3.2061,-2.3977,0.41,
-3.209,-2.3946,0.42,
-3.212,-2.3913,0.43,
-3.2151,-2.388,0.44,
-3.2182,-2.3845,0.45,
-3.2215,-2.381,0.46,
-3.2248,-2.3774,0.47,
-3.2281,-2.3736,0.48,
-3.2316,-2.3698,0.49,
-3.2351,-2.3659,0.5,
-3.2386,-2.3619,0.51,
-3.2423,-2.3578,0.52,
-3.246,-2.3536,0.53,
-3.2498,-2.3494,0.54,
-3.2537,-2.345,0.55,
-3.2576,-2.3405,0.56,
-3.2616,-2.3359,0.57,
-3.2657,-2.3312,0.58,
-3.2698,-2.3265,0.59,
-3.274,-2.3216,0.6,
-3.2783,-2.3166,0.61,
-3.2826,-2.3115,0.62,
-3.287,-2.3064,0.63,
-3.2915,-2.3011,0.64,
-3.296,-2.2957,0.65,
-3.3007,-2.2902,0.66,
-3.3054,-2.2846,0.67,
-3.3101,-2.2788,0.68,
-3.3149,-2.273,0.69,
-3.3198,-2.2671,0.7,
-3.3248,-2.261,0.71,
-3.3298,-2.2549,0.72,
-3.3349,-2.2486,0.73,
-3.3401,-2.2422,0.74,
-3.3454,-2.2357,0.75,
-3.3507,-2.229,0.76,
-3.3561,-2.2223,0.77,
-3.3615,-2.2154,0.78,
-3.3671,-2.2084,0.79,
-3.3727,-2.2013,0.8,
-3.3783,-2.194,0.81,
-3.3841,-2.1867,0.82,
-3.3899,-2.1792,0.83,
-3.3958,-2.1716,0.84,
-3.4017,-2.1638,0.85,
-3.4078,-2.1559,0.86,
-3.4139,-2.1479,0.87,
-3.42,-2.1397,0.88,
-3.4263,-2.1314,0.89,
-3.4326,-2.123,0.9,
-3.439,-2.1145,0.91,
-3.4455,-2.1058,0.92,
-3.452,-2.0969,0.93,
-3.4586,-2.088,0.94,
-3.4652,-2.0789,0.95,
-3.4719,-2.0697,0.96,
-3.4787,-2.0604,0.97,
-3.4856,-2.0509,0.98,
-3.4925,-2.0413,0.99,
-3.4994,-2.0316,1,
-3.5064,-2.0218,1.01,
-3.5134,-2.0119,1.02,
-3.5205,-2.0018,1.03,
-3.5277,-1.9917,1.04,
-3.5348,-1.9815,1.05,
-3.542,-1.9711,1.06,
-3.5492,-1.9607,1.07,
