"time","q",,
1e-06,-3.7632,-4.1178,
0.010001,-3.7633,-4.1178,
0.020001,-3.7633,-4.1176,
0.030001,-3.7634,-4.1173,
0.040001,-3.7634,-4.1168,
0.050001,-3.7635,-4.1162,
0.060001,-3.7636,-4.1154,
0.070001,-3.7637,-4.1145,
0.080001,-3.7639,-4.1135,
0.090001,-3.7641,-4.1123,
0.1,-3.7642,-4.111,
0.11,-3.7644,-4.1096,
0.12,-3.7647,-4.108,
0.13,-3.7649,-4.1062,
0.14,-3.7652,-4.1043,
0.15,-3.7655,-4.1023,
0.16,-3.7658,-4.1001,
0.17,-3.7661,-4.0977,
0.18,-3.7664,-4.0952,
0.19,-3.7668,-4.0926,
0.2,-3.7672,-4.0898,
0.21,-3.7676,-4.0868,
0.22,-3.7681,-4.0837,
0.23,-3.7686,-4.0804,
0.24,-3.7691,-4.0769,
0.25,-3.7696,-4.0733,
0.26,-3.7701,-4.0695,
0.27,-3.7707,-4.0655,
0.28,-3.7713,-4.0613,
0.29,-3.772,-4.057,
0.3,-3.7726,-4.0525,
0.31,-3.7733,-4.0478,
0.32,-3.7741,-4.0429,
0.33,-3.7748,-4.0379,
0.34,-3.7756,-4.0326,
0.35,-3.7764,-4.0272,
0.36,-3.7773,-4.0216,
0.37,-3.7782,-4.0158,
0.38,-3.7791,-4.0098,
0.39,-3.78,-4.0036,
0.4,-3.781,-3.9972,
0.41,-3.782,-3.9906,
0.42,-3.7831,-3.9838,
0.43,-3.7842,-3.9768,
0.44,-3.7854,-3.9697,
0.45,-3.7865,-3.9623,
0.46,-3.7877,-3.9547,
0.47,-3.789,-3.9469,
0.48,-3.7903,-3.9389,
0.49,-3.7916,-3.9307,
0.5,-3.793,-3.9223,
0.51,-3.7945,-3.9136,
0.52,-3.7959,-3.9048,
0.53,-3.7974,-3.8958,
0.54,-3.799,-3.8865,
0.55,-3.8006,-3.877,
0.56,-3.8022,-3.8673,
0.57,-3.8039,-3.8574,
0.58,-3.8057,-3.8473,
0.59,-3.8075,-3.8369,
0.6,-3.8093,-3.8263,
0.61,-3.8112,-3.8155,
0.62,-3.8132,-3.8045,
0.63,-3.8152,-3.7932,
